test,impl,mode,measure,iters,warmup,repeat,instructions,cycles,context_switches,acc_correct,acc_total,acc_pct
TestC,CPU,t10k,total,10,10,5,39489760,39304028,10,,,
TestC,CPU,t10k,total,15,10,1,57919510,57725396,10,,,
TestC,CPU,t10k,total,15,10,2,59342552,59154738,12,,,
TestC,CPU,t10k,total,15,10,3,60363774,60162142,8,,,
TestC,CPU,t10k,total,15,10,4,58629430,58432610,12,,,
TestC,CPU,t10k,total,15,10,5,60512164,60309064,9,,,
TestC,CPU,t10k,total,20,10,1,77907614,77399104,11,,,
TestC,CPU,t10k,total,20,10,2,77916592,77738456,9,,,
TestC,CPU,t10k,total,20,10,3,78149386,77958962,8,,,
TestC,CPU,t10k,total,20,10,4,77009768,76848990,9,,,
TestC,CPU,t10k,total,20,10,5,76876968,76659396,10,,,
TestC,CPU,t10k,total,25,10,1,97247944,97060772,9,,,
TestC,CPU,t10k,total,25,10,2,97536914,97337210,10,,,
TestC,CPU,t10k,total,25,10,3,96963930,96777780,9,,,
TestC,CPU,t10k,total,25,10,4,96676976,96488398,10,,,
TestC,CPU,t10k,total,25,10,5,96341772,96153260,8,,,
TestC,CPU,t10k,total,30,10,1,114026110,113832558,10,,,
TestC,CPU,t10k,total,30,10,2,116053842,115866740,10,,,
TestC,CPU,t10k,total,30,10,3,118281328,118072000,10,,,
TestC,CPU,t10k,total,30,10,4,121091314,120879076,11,,,
TestC,CPU,t10k,total,30,10,5,116798048,116620714,10,,,
TestC,CPU,t10k,total,35,10,1,133830600,133623614,11,,,
TestC,CPU,t10k,total,35,10,2,133971074,133783444,9,,,
TestC,CPU,t10k,total,35,10,3,138547730,138220002,9,,,
TestC,CPU,t10k,total,35,10,4,134778872,134596324,8,,,
TestC,CPU,t10k,total,35,10,5,134551260,134341130,10,,,
TestC,CPU,t10k,total,40,10,1,153530954,153338706,11,,,
TestC,CPU,t10k,total,40,10,2,158301450,158090706,8,,,
TestC,CPU,t10k,total,40,10,3,152250070,152065170,8,,,
TestC,CPU,t10k,total,40,10,4,152320494,152149394,11,,,
TestC,CPU,t10k,total,40,10,5,159125642,158836334,8,,,
TestC,CPU,t10k,total,45,10,1,172361950,172169602,10,,,
TestC,CPU,t10k,total,45,10,2,174000936,173805624,11,,,
TestC,CPU,t10k,total,45,10,3,174157492,173965924,9,,,
TestC,CPU,t10k,total,45,10,4,171897424,171705906,10,,,
TestC,CPU,t10k,total,45,10,5,172039408,171801870,12,,,
TestC,CPU,t10k,total,50,10,1,192783554,192605516,10,,,
TestC,CPU,t10k,total,50,10,2,198588644,198396074,8,,,
TestC,CPU,t10k,total,50,10,3,193886982,193362794,11,,,
TestC,CPU,t10k,total,50,10,4,192565200,192337960,9,,,
TestC,CPU,t10k,total,50,10,5,194051122,193832994,10,,,
TestC,CPU,t10k,total,55,10,1,211951900,211771062,11,,,
TestC,CPU,t10k,total,55,10,2,210460678,210279526,13,,,
TestC,CPU,t10k,total,55,10,3,210276210,210086106,9,,,
TestC,CPU,t10k,total,55,10,4,209481720,209296114,10,,,
TestC,CPU,t10k,total,55,10,5,213572756,213349018,9,,,
TestC,CPU,t10k,total,60,10,1,232326964,232136212,9,,,
TestC,CPU,t10k,total,60,10,2,234977224,234745824,9,,,
TestC,CPU,t10k,total,60,10,3,232675036,232522324,10,,,
TestC,CPU,t10k,total,60,10,4,231639076,231451996,12,,,
TestC,CPU,t10k,total,60,10,5,230767658,230585522,8,,,
TestC,CPU,t10k,total,65,10,1,252498732,252317976,10,,,
TestC,CPU,t10k,total,65,10,2,249120488,248903456,9,,,
TestC,CPU,t10k,total,65,10,3,251369826,251184302,12,,,
TestC,CPU,t10k,total,65,10,4,250628756,250437614,9,,,
TestC,CPU,t10k,total,65,10,5,247910878,247728388,11,,,
TestC,CPU,t10k,total,70,10,1,270985376,270805154,10,,,
TestC,CPU,t10k,total,70,10,2,270862292,270359394,11,,,
TestC,CPU,t10k,total,70,10,3,268586110,268402896,11,,,
TestC,CPU,t10k,total,70,10,4,268577852,268382330,10,,,
TestC,CPU,t10k,total,70,10,5,266842308,266665846,12,,,
